"PSShowComputerName","DiskNumber","PartitionStyle","ProvisioningType","OperationalStatus","HealthStatus","BusType","UniqueIdFormat","OfflineReason","ObjectId","PassThroughClass","PassThroughIds","PassThroughNamespace","PassThroughServer","UniqueId","AdapterSerialNumber","AllocatedSize","BootFromDisk","FirmwareVersion","FriendlyName","Guid","IsBoot","IsClustered","IsHighlyAvailable","IsOffline","IsReadOnly","IsScaleOut","IsSystem","LargestFreeExtent","Location","LogicalSectorSize","Manufacturer","Model","Number","NumberOfPartitions","Path","PhysicalSectorSize","SerialNumber","Signature","Size","PSComputerName"
"True","0","GPT","Fixed","Online","Healthy","RAID","SCSI Name String",,"{1}\\LAPTOP-HD7OGIG6\root/Microsoft/Windows/Storage/Providers_v2\WSP_Disk.ObjectId=""{f7cb41f9-ff13-11e7-9300-806e6f6e6963}:DI:\\?\scsi#disk&ven_nvme&prod_samsung_mzvlb1t0#4&2f93be91&0&010000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""",,,,,"eui.0025388B71013879",,"1024209543168","True",,"SAMSUNG MZVLB1T0HALR-000L2","{c6fc8d0b-7619-45bd-92ba-c03be634a5a1}","True","False","False","False","False","False","True","0","Integrated : Bus 0 : Device 23 : Function 0 : Adapter 0 : Port 1 : Target 0 : LUN 0","512",,"SAMSUNG MZVLB1T0HALR-000L2","0","5","\\?\scsi#disk&ven_nvme&prod_samsung_mzvlb1t0#4&2f93be91&0&010000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}","512","0025_388B_7101_3879.",,"1024209543168","LAPTOP-HD7OGIG6"
"True","1","RAW","Fixed","No Media","Healthy","USB","Vendor Specific",,"{1}\\LAPTOP-HD7OGIG6\root/Microsoft/Windows/Storage/Providers_v2\WSP_Disk.ObjectId=""{f7cb41f9-ff13-11e7-9300-806e6f6e6963}:DI:\\?\usbstor#disk&ven_br21&prod__device_v1.00&rev_1.00#7&1b638b57&0&20180105&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}""",,,,,"USBSTOR\DISK&VEN_BR21&PROD__DEVICE_V1.00&REV_1.00\7&1B638B57&0&20180105&0:LAPTOP-HD7OGIG6",,"0","False","1.00","BR21 DEVICE V1.00",,"False","False","False","True","False","False","False","0","Integrated : Bus 0 : Device 0 : Function 1 : Adapter 0 : Port 0","0","BR21    "," DEVICE V1.00   ","1","0","\\?\usbstor#disk&ven_br21&prod__device_v1.00&rev_1.00#7&1b638b57&0&20180105&0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b}","0","20180105",,"0","LAPTOP-HD7OGIG6"
