"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AeroAdmin","0","196","60465152","9465856","3465216","11920",,,,,,,,,"Process",,,"8",,,,,"4128",".",,,,"11920","11920","3465216","3465216","119032","119032","3952640","3952640","10829824","10829824","68329472","68329472",,,"3465216","3465216","AeroAdmin",,"0",,"System.Diagnostics.ProcessThreadCollection","196","60465152","60465152","False",,,,"9465856","9465856",,,,,,"0","","True",,
"AeroAdmin","2","308","118677504","49934336","6385664","21176",,,,,,,,,"Process",,,"8",,,,,"16468",".",,,,"21176","21176","6385664","6385664","231296","231296","13737984","13737984","54042624","54042624","136720384","136720384",,,"6385664","6385664","AeroAdmin",,"2",,"System.Diagnostics.ProcessThreadCollection","308","118677504","118677504","False",,,,"49934336","49934336",,,,,,"0","","True",,
"aesm_service","0","212","4421726208","12337152","4685824","18248",,,,,,,,,"Process",,,"8",,,,,"3844",".",,,,"18248","18248","4685824","4685824","159472","159472","6926336","6926336","18997248","18997248","4434722816","139755520",,,"4685824","4685824","aesm_service",,"0",,"System.Diagnostics.ProcessThreadCollection","212","4421726208","126758912","False",,,,"12337152","12337152",,,,,,"0","","True",,
"AGMService","0","255","101171200","11091968","3829760","15880",,,,,,,,,"Process",,,"8",,,,,"4460",".",,,,"15880","15880","3829760","3829760","152480","152480","5791744","5791744","13217792","13217792","328060928","328060928",,,"3829760","3829760","AGMService",,"0",,"System.Diagnostics.ProcessThreadCollection","255","101171200","101171200","False",,,,"11091968","11091968",,,,,,"0","","True",,
"AGSService","0","486","104390656","14249984","6561792","33072",,,,,,,,,"Process",,,"8",,,,,"4468",".",,,,"33072","33072","6561792","6561792","254184","254184","8065024","8065024","24608768","24608768","222556160","222556160",,,"6561792","6561792","AGSService",,"0",,"System.Diagnostics.ProcessThreadCollection","486","104390656","104390656","False",,,,"14249984","14249984",,,,,,"0","","True",,
"AppleMobileDeviceProcess","2","279","4475408384","13479936","4198400","21136","C:\Program Files\WindowsApps\AppleInc.iTunes_12110.26.53016.0_x64__nzyj5cx40ttqa\AMDS64\AppleMobileDeviceProcess.exe","System.Diagnostics.Process (explorer)","Apple Inc.","10.4375","486.0.2.23","","MobileDeviceProcess","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5748","8",,"False","11/30/2020 6:08:30 AM",,"19296",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21136","21136","4198400","4198400","273864","273864","4464640","4464640","15650816","15650816","4481699840","186732544","True","Normal","4198400","4198400","AppleMobileDeviceProcess","255","2",,"System.Diagnostics.ProcessThreadCollection","279","4475408384","180441088","False",,,,"13479936","13479936",,"System.Diagnostics.ProcessModule (AppleMobileDeviceProcess.exe)","00:00:04.9062500","00:00:10.4375000","00:00:05.5312500","0","","True",,
"ApplicationFrameHost","2","421","2203602419712","33402880","22253568","32568","C:\WINDOWS\system32\ApplicationFrameHost.exe",,"Microsoft Corporation","2.109375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Application Frame Host","Microsoft? Windows? Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9064","8",,"False","11/30/2020 6:09:17 AM",,"13368",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32568","32568","22253568","22253568","388608","388608","29790208","29790208","49205248","49205248","2203612340224","294117376","True","Normal","22253568","22253568","ApplicationFrameHost","255","2",,"System.Diagnostics.ProcessThreadCollection","421","2203602419712","284196864","False",,,,"33402880","33402880",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:01.2187500","00:00:02.1093750","00:00:00.8906250","2162864","Settings","True",,
"armsvc","0","122","69128192","5906432","1626112","8280",,,,,,,,,"Process",,,"8",,,,,"5100",".",,,,"8280","8280","1626112","1626112","73456","73456","1961984","1961984","6426624","6426624","75681792","75681792",,,"1626112","1626112","armsvc",,"0",,"System.Diagnostics.ProcessThreadCollection","122","69128192","69128192","False",,,,"5906432","5906432",,,,,,"0","","True",,
"audiodg","0","246","2203425775616","15564800","12062720","20808",,,,"254.71875",,,,,"Process",,,"8",,,"12/1/2020 10:34:02 PM",,"13308",".",,,,"20808","20808","12062720","12062720","114144","114144","12496896","12496896","17227776","17227776","2203426320384","108097536",,,"12062720","12062720","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","246","2203425775616","107552768","False",,,,"15564800","15564800",,,"00:01:46.3125000","00:04:14.7187500","00:02:28.4062500","0","","True",,
"AutodeskDesktopApp","2","1174","697966592","67067904","184647680","70928","C:\Program Files (x86)\Autodesk\Autodesk Desktop App\AutodeskDesktopApp.exe",,"Autodesk, Inc.","52.828125","8.0.0.46","8.0.0.46","Autodesk Desktop App","Autodesk Desktop App","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2660","8",,"False","11/30/2020 6:08:34 AM",,"21952",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","70928","70928","184647680","184647680","1046648","1046648","248954880","248954880","177446912","177446912","829206528","829206528","True","Normal","184647680","184647680","AutodeskDesktopApp","255","2",,"System.Diagnostics.ProcessThreadCollection","1174","697966592","697966592","False",,,,"67067904","67067904",,"System.Diagnostics.ProcessModule (AutodeskDesktopApp.exe)","00:00:25.3437500","00:00:52.8281250","00:00:27.4843750","0","","True",,
"bdagent","2","575","4601200640","25108480","33071104","29512","C:\Program Files\Bitdefender Antivirus Free\bdagent.exe",,"Bitdefender","44.75","1.0.17.209","1.0.17.209","bdagent.exe","Bitdefender Antivirus Free","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7360","8",,"False","11/30/2020 6:08:49 AM",,"24344",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","29512","29512","33071104","33071104","379232","379232","57892864","57892864","53035008","53035008","4615712768","320745472","True","Normal","33071104","33071104","bdagent","255","2",,"System.Diagnostics.ProcessThreadCollection","575","4601200640","306233344","False",,,,"25108480","25108480",,"System.Diagnostics.ProcessModule (bdagent.exe)","00:00:23.9218750","00:00:44.7500000","00:00:20.8281250","0","","True",,
"bdredline","0","164","4383612928","7610368","3031040","10736",,,,,,,,,"Process",,,"8",,,,,"4520",".",,,,"10736","10736","3031040","3031040","104952","104952","3182592","3182592","9461760","9461760","4390952960","95985664",,,"3031040","3031040","bdredline",,"0",,"System.Diagnostics.ProcessThreadCollection","164","4383612928","88645632","False",,,,"7610368","7610368",,,,,,"0","","True",,
